DATA SET,DATE,PLAYER FULL NAME,POSITION,OWN TEAM,OPP TEAM,VENUE (R/H),MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
2014-2015 Regular Season,10/28/2014,Tobias Harris,SF,Orlando,New Orleans,R,36.6,9,18,1,2,6,6,2,6,8,0,2,1,4,0,25
2014-2015 Regular Season,10/28/2014,Kyle O'Quinn,PF,Orlando,New Orleans,R,21.4,2,8,0,1,0,0,0,2,2,5,4,1,1,3,4
2014-2015 Regular Season,10/28/2014,Nikola Vucevic,C,Orlando,New Orleans,R,35.1,7,15,0,0,1,2,5,18,23,1,2,1,1,4,15
2014-2015 Regular Season,10/28/2014,Evan Fournier,SG,Orlando,New Orleans,R,32.3,3,11,2,4,3,3,1,2,3,2,2,0,4,0,11
2014-2015 Regular Season,10/28/2014,Elfrid Payton,PG,Orlando,New Orleans,R,30.8,2,8,0,0,0,0,3,2,5,7,5,1,2,0,4
2014-2015 Regular Season,10/28/2014,Aaron Gordon,PF,Orlando,New Orleans,R,28.5,5,8,1,2,0,0,2,1,3,0,3,1,3,1,11
2014-2015 Regular Season,10/28/2014,Ben Gordon,SG,Orlando,New Orleans,R,23,1,8,0,2,3,4,0,4,4,1,3,0,0,0,5
2014-2015 Regular Season,10/28/2014,Luke Ridnour,PG,Orlando,New Orleans,R,17.2,0,3,0,0,2,2,0,2,2,1,2,0,2,0,2
2014-2015 Regular Season,10/28/2014,Dewayne Dedmon,C,Orlando,New Orleans,R,8.2,1,2,0,0,1,2,2,1,3,0,1,0,1,1,3
2014-2015 Regular Season,10/28/2014,Willie Green,SG,Orlando,New Orleans,R,4.1,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0
2014-2015 Regular Season,10/28/2014,Devyn Marble,SG,Orlando,New Orleans,R,3,2,2,0,0,0,2,0,1,1,0,1,0,0,0,4
2014-2015 Regular Season,10/28/2014,Tyreke Evans,SF,New Orleans,Orlando,H,34.7,5,15,0,1,2,5,2,7,9,6,0,0,0,0,12
2014-2015 Regular Season,10/28/2014,Anthony Davis,PF,New Orleans,Orlando,H,36.3,10,22,0,0,6,9,9,8,17,2,1,3,0,9,26
2014-2015 Regular Season,10/28/2014,Omer Asik,C,New Orleans,Orlando,H,33.5,7,10,0,0,0,3,7,10,17,2,4,0,3,5,14
2014-2015 Regular Season,10/28/2014,Eric Gordon,SG,New Orleans,Orlando,H,31.5,3,8,1,2,1,3,0,4,4,0,1,2,3,2,8
2014-2015 Regular Season,10/28/2014,Jrue Holiday,PG,New Orleans,Orlando,H,27,4,11,0,3,0,0,0,2,2,4,2,3,2,1,8
2014-2015 Regular Season,10/28/2014,Ryan Anderson,PF,New Orleans,Orlando,H,22.4,9,22,3,6,1,3,7,2,9,0,2,0,0,0,22
2014-2015 Regular Season,10/28/2014,John Salmons,SF,New Orleans,Orlando,H,9.5,0,0,0,0,0,0,1,1,2,1,3,0,0,0,0
2014-2015 Regular Season,10/28/2014,Jimmer Fredette,PG,New Orleans,Orlando,H,17.8,0,6,0,3,2,2,0,0,0,2,3,1,0,0,2
2014-2015 Regular Season,10/28/2014,Austin Rivers,SG,New Orleans,Orlando,H,19.8,2,5,0,2,3,6,0,1,1,3,1,1,0,0,7
2014-2015 Regular Season,10/28/2014,Jeff Withey,C,New Orleans,Orlando,H,2.5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
2014-2015 Regular Season,10/28/2014,Luke Babbitt,SF,New Orleans,Orlando,H,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015 Regular Season,10/28/2014,Alexis Ajinca,C,New Orleans,Orlando,H,2.5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2
2014-2015 Regular Season,10/28/2014,Chandler Parsons,SF,Dallas,San Antonio,R,33.8,2,10,1,4,0,0,0,4,4,0,2,2,1,1,5
2014-2015 Regular Season,10/28/2014,Dirk Nowitzki,PF,Dallas,San Antonio,R,31.7,7,11,0,1,4,4,2,4,6,2,4,1,1,0,18
2014-2015 Regular Season,10/28/2014,Tyson Chandler,C,Dallas,San Antonio,R,27.8,4,8,0,0,0,0,3,7,10,0,5,2,1,0,8
2014-2015 Regular Season,10/28/2014,Monta Ellis,SG,Dallas,San Antonio,R,37.2,11,21,1,2,3,4,1,3,4,6,0,1,3,0,26
2014-2015 Regular Season,10/28/2014,Jameer Nelson,PG,Dallas,San Antonio,R,30.5,3,7,3,5,0,0,0,0,0,3,1,1,0,1,9
2014-2015 Regular Season,10/28/2014,Greg Smith,PF,Dallas,San Antonio,R,2.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014-2015 Regular Season,10/28/2014,Devin Harris,PG,Dallas,San Antonio,R,29.1,6,12,2,5,3,4,0,0,0,5,1,2,1,0,17
2014-2015 Regular Season,10/28/2014,Brandan Wright,PF,Dallas,San Antonio,R,18.1,2,2,0,0,2,2,1,4,5,0,2,0,0,1,6
2014-2015 Regular Season,10/28/2014,Al-Farouq Aminu,SF,Dallas,San Antonio,R,5.5,0,2,0,2,0,0,1,1,2,0,1,0,1,0,0
2014-2015 Regular Season,10/28/2014,Jae Crowder,SF,Dallas,San Antonio,R,10.9,2,2,0,0,1,1,0,0,0,0,1,0,1,0,5
2014-2015 Regular Season,10/28/2014,Richard Jefferson,SF,Dallas,San Antonio,R,13.4,1,3,1,2,3,4,1,1,2,1,2,0,1,0,6
2014-2015 Regular Season,10/28/2014,Marco Belinelli,SG,San Antonio,Dallas,H,30.8,5,8,3,6,2,2,0,2,2,3,1,1,2,0,15
2014-2015 Regular Season,10/28/2014,Tim Duncan,PF,San Antonio,Dallas,H,30.2,5,10,0,0,4,5,5,8,13,2,0,1,5,2,14
2014-2015 Regular Season,10/28/2014,Matt Bonner,PF,San Antonio,Dallas,H,14.5,0,2,0,1,0,0,0,2,2,0,3,0,0,0,0
2014-2015 Regular Season,10/28/2014,Danny Green,SG,San Antonio,Dallas,H,34,5,9,3,6,0,0,2,2,4,1,4,1,3,0,13
2014-2015 Regular Season,10/28/2014,Tony Parker,PG,San Antonio,Dallas,H,34.8,9,15,4,4,1,2,1,2,3,3,2,0,1,0,23
2014-2015 Regular Season,10/28/2014,Manu Ginobili,SG,San Antonio,Dallas,H,27.7,6,13,2,6,6,7,0,2,2,6,4,2,3,0,20
2014-2015 Regular Season,10/28/2014,Boris Diaw,PF,San Antonio,Dallas,H,33.5,2,6,1,3,0,0,1,8,9,6,2,0,4,0,5
2014-2015 Regular Season,10/28/2014,Aron Baynes,C,San Antonio,Dallas,H,17.8,2,3,0,0,0,0,0,2,2,0,3,0,2,1,4
2014-2015 Regular Season,10/28/2014,Cory Joseph,PG,San Antonio,Dallas,H,16.7,3,4,1,2,0,0,0,1,1,2,1,0,0,0,7
2014-2015 Regular Season,10/28/2014,Trevor Ariza,SF,Houston,LA Lakers,R,29.6,5,10,5,8,1,1,1,2,3,2,3,2,2,0,16
2014-2015 Regular Season,10/28/2014,Terrence Jones,PF,Houston,LA Lakers,R,30.5,8,16,0,1,0,1,6,7,13,3,4,2,2,2,16
2014-2015 Regular Season,10/28/2014,Dwight Howard,C,Houston,LA Lakers,R,20.6,3,5,0,0,7,16,3,8,11,1,5,0,1,1,13
2014-2015 Regular Season,10/28/2014,James Harden,SG,Houston,LA Lakers,R,30.8,7,17,3,6,15,16,0,1,1,6,1,1,0,0,32
2014-2015 Regular Season,10/28/2014,Patrick Beverley,PG,Houston,LA Lakers,R,30.9,2,6,2,3,3,6,1,4,5,5,3,0,2,0,9
2014-2015 Regular Season,10/28/2014,Tarik Black,PF,Houston,LA Lakers,R,24.2,1,2,0,0,0,0,0,2,2,0,4,0,0,0,2
2014-2015 Regular Season,10/28/2014,Jason Terry,SG,Houston,LA Lakers,R,21.4,3,5,2,3,0,0,0,0,0,1,0,0,1,0,8
2014-2015 Regular Season,10/28/2014,Donatas Motiejunas,PF,Houston,LA Lakers,R,16.4,0,0,0,0,4,6,2,3,5,0,3,0,2,0,4
2014-2015 Regular Season,10/28/2014,Kostas Papanikolaou,SF,Houston,LA Lakers,R,19.9,2,6,0,2,0,0,1,5,6,4,5,2,2,0,4
2014-2015 Regular Season,10/28/2014,Troy Daniels,SG,Houston,LA Lakers,R,8.7,0,5,0,5,2,2,0,0,0,0,2,0,0,0,2
2014-2015 Regular Season,10/28/2014,Isaiah Canaan,PG,Houston,LA Lakers,R,7.1,0,1,0,1,2,2,0,1,1,0,0,0,1,0,2
2014-2015 Regular Season,10/28/2014,Wesley Johnson,SF,LA Lakers,Houston,H,22.9,3,7,1,3,0,0,0,2,2,0,5,0,0,0,7
2014-2015 Regular Season,10/28/2014,Carlos Boozer,PF,LA Lakers,Houston,H,27.6,7,13,0,0,3,3,3,4,7,2,1,1,0,0,17
2014-2015 Regular Season,10/28/2014,Jordan Hill,C,LA Lakers,Houston,H,23.4,2,7,0,0,3,4,4,6,10,1,3,0,2,1,7
2014-2015 Regular Season,10/28/2014,Kobe Bryant,SG,LA Lakers,Houston,H,29,6,17,0,1,7,8,0,3,3,2,5,1,1,0,19
2014-2015 Regular Season,10/28/2014,Jeremy Lin,PG,LA Lakers,Houston,H,29.1,1,5,0,1,5,6,1,1,2,6,3,0,4,0,7
2014-2015 Regular Season,10/28/2014,Ronnie Price,PG,LA Lakers,Houston,H,26.9,1,7,1,3,4,4,0,1,1,3,3,2,2,0,7
2014-2015 Regular Season,10/28/2014,Jordan Clarkson,PG,LA Lakers,Houston,H,20.4,1,4,1,2,5,6,0,4,4,2,3,0,1,0,8
2014-2015 Regular Season,10/28/2014,Ed Davis,PF,LA Lakers,Houston,H,21.6,5,7,0,0,1,2,2,4,6,0,6,1,0,2,11
2014-2015 Regular Season,10/28/2014,Xavier Henry,SF,LA Lakers,Houston,H,18.5,0,4,0,0,3,4,1,0,1,0,1,1,0,0,3
2014-2015 Regular Season,10/28/2014,Julius Randle,PF,LA Lakers,Houston,H,13.6,1,3,0,0,0,2,0,0,0,0,1,0,1,0,2
2014-2015 Regular Season,10/28/2014,Robert Sacre,C,LA Lakers,Houston,H,7.1,1,5,0,0,0,0,0,0,0,0,1,1,0,0,2
2014-2015 Regular Season,10/29/2014,Khris Middleton,PF,Milwaukee,Charlotte,R,35.9,7,15,0,2,3,5,1,5,6,2,2,0,4,1,17
2014-2015 Regular Season,10/29/2014,Jabari Parker,SF,Milwaukee,Charlotte,R,36.9,3,9,0,0,2,2,0,4,4,1,1,1,0,0,8
2014-2015 Regular Season,10/29/2014,Larry Sanders,C,Milwaukee,Charlotte,R,26.2,5,8,0,0,0,0,1,4,5,1,5,2,0,1,10
2014-2015 Regular Season,10/29/2014,Jared Dudley,SG,Milwaukee,Charlotte,R,26.2,1,1,1,1,0,0,0,2,2,2,1,2,1,1,3
2014-2015 Regular Season,10/29/2014,Brandon Knight,PG,Milwaukee,Charlotte,R,38.8,5,17,2,4,10,10,0,8,8,13,3,0,4,1,22
2014-2015 Regular Season,10/29/2014,Zaza Pachulia,C,Milwaukee,Charlotte,R,14.5,2,5,0,0,0,0,0,1,1,0,1,2,3,1,4
2014-2015 Regular Season,10/29/2014,Giannis Antetokounmpo,SG,Milwaukee,Charlotte,R,24,3,6,1,1,3,3,0,5,5,1,1,0,0,1,10
2014-2015 Regular Season,10/29/2014,O.J. Mayo,SG,Milwaukee,Charlotte,R,24.2,6,10,3,6,2,2,1,2,3,3,4,0,1,1,17
2014-2015 Regular Season,10/29/2014,Ersan Ilyasova,PF,Milwaukee,Charlotte,R,11.8,3,3,0,0,0,0,0,1,1,0,5,2,0,1,6
2014-2015 Regular Season,10/29/2014,John Henson,C,Milwaukee,Charlotte,R,12.4,2,3,0,0,1,2,0,0,0,0,0,0,0,2,5
2014-2015 Regular Season,10/29/2014,Jerryd Bayless,PG,Milwaukee,Charlotte,R,14.2,2,3,0,0,0,0,0,0,0,2,2,0,1,0,4
2014-2015 Regular Season,10/29/2014,Michael Kidd-Gilchrist,SF,Charlotte,Milwaukee,H,33.7,6,8,0,0,5,6,3,5,8,3,4,0,1,3,17
2014-2015 Regular Season,10/29/2014,Marvin Williams,PF,Charlotte,Milwaukee,H,33.2,8,12,3,6,0,0,2,2,4,3,0,1,2,0,19
2014-2015 Regular Season,10/29/2014,Al Jefferson,C,Charlotte,Milwaukee,H,40.5,6,15,0,0,2,3,2,8,10,2,4,2,2,4,14
2014-2015 Regular Season,10/29/2014,Lance Stephenson,SG,Charlotte,Milwaukee,H,39.9,3,12,0,2,1,2,3,10,13,8,4,0,2,0,7
2014-2015 Regular Season,10/29/2014,Kemba Walker,PG,Charlotte,Milwaukee,H,39,9,26,3,9,5,11,2,4,6,5,1,1,0,1,26
2014-2015 Regular Season,10/29/2014,Cody Zeller,C,Charlotte,Milwaukee,H,19.8,3,6,0,0,5,5,1,1,2,0,3,1,2,0,11
2014-2015 Regular Season,10/29/2014,Gerald Henderson,SG,Charlotte,Milwaukee,H,8.8,0,2,0,0,0,0,1,0,1,1,1,1,1,0,0
2014-2015 Regular Season,10/29/2014,Gary Neal,SG,Charlotte,Milwaukee,H,23.6,2,11,0,3,2,2,0,4,4,2,0,1,0,0,6
2014-2015 Regular Season,10/29/2014,Jason Maxiell,PF,Charlotte,Milwaukee,H,12.5,2,5,0,0,0,0,1,1,2,0,2,0,0,1,4
2014-2015 Regular Season,10/29/2014,Brian Roberts,PG,Charlotte,Milwaukee,H,14,2,4,0,1,0,0,0,0,0,3,1,1,0,0,4
2014-2015 Regular Season,10/29/2014,Chris Johnson,SF,Philadelphia,Indiana,R,32.2,5,10,1,4,1,2,0,1,1,1,1,1,2,0,12
2014-2015 Regular Season,10/29/2014,Nerlens Noel,PF,Philadelphia,Indiana,R,34.9,2,11,0,0,2,6,4,6,10,0,4,0,2,3,6
2014-2015 Regular Season,10/29/2014,Henry Sims,C,Philadelphia,Indiana,R,23.5,4,9,0,0,2,2,1,3,4,0,4,0,1,0,10
2014-2015 Regular Season,10/29/2014,Hollis Thompson,SG,Philadelphia,Indiana,R,28.5,2,5,1,2,0,0,1,2,3,2,5,4,0,0,5
2014-2015 Regular Season,10/29/2014,Tony Wroten,SG,Philadelphia,Indiana,R,35.2,9,21,1,4,3,8,1,7,8,7,2,3,1,0,22
2014-2015 Regular Season,10/29/2014,Brandon Davies,PF,Philadelphia,Indiana,R,18,5,11,0,2,2,2,4,1,5,1,3,1,1,0,12
2014-2015 Regular Season,10/29/2014,KJ McDaniels,SG,Philadelphia,Indiana,R,19.7,1,5,0,1,0,2,1,1,2,1,1,1,1,1,2
2014-2015 Regular Season,10/29/2014,JaKarr Sampson,SF,Philadelphia,Indiana,R,7.9,0,4,0,2,0,0,0,1,1,0,2,0,1,0,0
2014-2015 Regular Season,10/29/2014,Malcolm Thomas,PF,Philadelphia,Indiana,R,16.3,1,2,0,0,2,2,2,3,5,0,3,0,2,1,4
2014-2015 Regular Season,10/29/2014,Alexey Shved,SG,Philadelphia,Indiana,R,23.9,5,11,3,6,5,6,1,2,3,5,4,0,0,0,18
2014-2015 Regular Season,10/29/2014,Solomon Hill,SF,Indiana,Philadelphia,H,22.5,1,3,1,2,0,0,2,4,6,2,2,0,1,2,3
2014-2015 Regular Season,10/29/2014,Luis Scola,PF,Indiana,Philadelphia,H,24.7,5,9,0,0,0,2,3,3,6,2,4,2,4,0,10
2014-2015 Regular Season,10/29/2014,Roy Hibbert,C,Indiana,Philadelphia,H,32.3,6,8,0,0,10,13,3,5,8,0,2,0,3,7,22
2014-2015 Regular Season,10/29/2014,CJ Miles,SG,Indiana,Philadelphia,H,33.2,6,17,2,8,1,1,0,1,1,2,4,0,1,0,15
2014-2015 Regular Season,10/29/2014,Donald Sloan,PG,Indiana,Philadelphia,H,34.2,6,13,1,4,3,4,2,8,10,6,3,1,4,0,16
2014-2015 Regular Season,10/29/2014,Chris Copeland,SF,Indiana,Philadelphia,H,26.2,4,11,2,7,1,2,0,2,2,2,1,0,1,1,11
2014-2015 Regular Season,10/29/2014,Lavoy Allen,PF,Indiana,Philadelphia,H,20.1,3,5,0,0,0,0,1,4,5,2,4,1,0,2,6
2014-2015 Regular Season,10/29/2014,Rodney Stuckey,PG,Indiana,Philadelphia,H,16.2,5,9,2,2,4,6,0,3,3,5,2,1,1,0,16
2014-2015 Regular Season,10/29/2014,Ian Mahinmi,C,Indiana,Philadelphia,H,15.8,2,4,0,0,0,0,3,6,9,1,1,0,2,1,4
2014-2015 Regular Season,10/29/2014,Damjan Rudez,SF,Indiana,Philadelphia,H,14.8,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0
2014-2015 Regular Season,10/29/2014,Joe Johnson,SG,Brooklyn,Boston,R,34.5,7,19,2,5,3,5,2,4,6,3,4,1,2,0,19
2014-2015 Regular Season,10/29/2014,Kevin Garnett,PF,Brooklyn,Boston,R,22.7,5,8,0,0,0,0,0,6,6,3,2,0,4,0,10
2014-2015 Regular Season,10/29/2014,Mason Plumlee,C,Brooklyn,Boston,R,11.5,2,2,0,0,0,0,1,3,4,0,4,0,2,2,4
2014-2015 Regular Season,10/29/2014,Bojan Bogdanovic,SF,Brooklyn,Boston,R,26.1,3,6,1,2,0,0,0,0,0,2,3,0,2,1,7
2014-2015 Regular Season,10/29/2014,Deron Williams,PG,Brooklyn,Boston,R,39.1,6,16,0,3,7,7,0,3,3,8,1,2,4,1,19
2014-2015 Regular Season,10/29/2014,Andrei Kirilenko,SF,Brooklyn,Boston,R,10,0,3,0,0,3,4,2,1,3,0,0,1,0,0,3
2014-2015 Regular Season,10/29/2014,Mirza Teletovic,PF,Brooklyn,Boston,R,23.4,8,11,4,6,0,0,2,4,6,1,1,0,2,2,20
2014-2015 Regular Season,10/29/2014,Alan Anderson,SG,Brooklyn,Boston,R,24.8,1,4,0,3,2,2,0,2,2,1,2,0,1,1,4
2014-2015 Regular Season,10/29/2014,Jarrett Jack,PG,Brooklyn,Boston,R,30.1,5,9,0,0,1,2,0,2,2,2,1,2,1,0,11
2014-2015 Regular Season,10/29/2014,Jerome Jordan,C,Brooklyn,Boston,R,6.3,0,0,0,0,0,0,1,1,2,0,2,0,1,0,0
2014-2015 Regular Season,10/29/2014,Cory Jefferson,PF,Brooklyn,Boston,R,8.8,2,2,0,0,4,6,1,1,2,0,1,0,0,0,8
2014-2015 Regular Season,10/29/2014,Sergey Karasev,SG,Brooklyn,Boston,R,2.9,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0
2014-2015 Regular Season,10/29/2014,Jeff Green,SF,Boston,Brooklyn,H,35.6,4,10,2,3,7,9,2,4,6,3,5,2,0,0,17
2014-2015 Regular Season,10/29/2014,Jared Sullinger,PF,Boston,Brooklyn,H,28.3,5,9,1,3,2,3,0,4,4,2,2,0,1,2,13
2014-2015 Regular Season,10/29/2014,Kelly Olynyk,C,Boston,Brooklyn,H,28.5,8,14,1,2,2,2,4,2,6,2,4,1,1,0,19
2014-2015 Regular Season,10/29/2014,Avery Bradley,SG,Boston,Brooklyn,H,30.2,7,13,1,3,0,0,0,0,0,0,5,0,1,0,15
2014-2015 Regular Season,10/29/2014,Rajon Rondo,PG,Boston,Brooklyn,H,29.8,6,9,1,3,0,4,0,7,7,12,1,1,3,1,13
2014-2015 Regular Season,10/29/2014,Marcus Smart,PG,Boston,Brooklyn,H,27.8,3,7,1,4,3,3,1,1,2,2,2,4,0,0,10
2014-2015 Regular Season,10/29/2014,Evan Turner,SG,Boston,Brooklyn,H,23.6,5,9,0,1,0,1,1,6,7,5,3,1,3,1,10
2014-2015 Regular Season,10/29/2014,Marcus Thornton,SG,Boston,Brooklyn,H,14.3,4,6,1,2,1,1,0,0,0,0,2,0,0,1,10
2014-2015 Regular Season,10/29/2014,Brandon Bass,PF,Boston,Brooklyn,H,15.8,4,7,0,1,0,0,1,1,2,1,0,2,3,0,8
2014-2015 Regular Season,10/29/2014,Tyler Zeller,C,Boston,Brooklyn,H,6,3,4,0,0,0,0,0,1,1,1,1,0,0,0,6
2014-2015 Regular Season,10/29/2014,Paul Pierce,SF,Washington,Miami,R,32.7,6,10,1,3,4,5,0,6,6,5,3,2,1,0,17
2014-2015 Regular Season,10/29/2014,Drew Gooden,PF,Washington,Miami,R,33.6,8,11,1,2,1,4,2,3,5,1,3,0,2,0,18
2014-2015 Regular Season,10/29/2014,Marcin Gortat,C,Washington,Miami,R,40.2,7,14,0,0,4,5,1,6,7,0,3,0,0,1,18
2014-2015 Regular Season,10/29/2014,Garrett Temple,SG,Washington,Miami,R,30.9,2,8,2,6,0,0,2,5,7,1,1,2,3,1,6
2014-2015 Regular Season,10/29/2014,John Wall,PG,Washington,Miami,R,37.4,6,13,0,2,4,4,0,3,3,11,3,2,6,0,16
2014-2015 Regular Season,10/29/2014,Kris Humphries,PF,Washington,Miami,R,13.4,2,6,0,0,0,0,0,2,2,0,3,0,2,0,4
2014-2015 Regular Season,10/29/2014,Otto Porter,SF,Washington,Miami,R,23.5,4,7,1,3,4,6,1,3,4,0,1,1,0,0,13
2014-2015 Regular Season,10/29/2014,Rasual Butler,SF,Washington,Miami,R,10.3,1,3,1,2,0,0,1,0,1,0,0,0,0,0,3
2014-2015 Regular Season,10/29/2014,Andre Miller,PG,Washington,Miami,R,10.4,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0
2014-2015 Regular Season,10/29/2014,Kevin Seraphin,C,Washington,Miami,R,7.7,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0
2014-2015 Regular Season,10/29/2014,Luol Deng,SF,Miami,Washington,H,30.3,4,8,0,2,4,5,2,2,4,1,2,0,2,1,12
2014-2015 Regular Season,10/29/2014,Shawne Williams,SF,Miami,Washington,H,31.7,1,9,0,6,1,2,3,3,6,3,5,2,0,0,3
2014-2015 Regular Season,10/29/2014,Chris Bosh,C,Miami,Washington,H,39.1,9,18,3,4,5,5,4,11,15,4,1,1,3,1,26
2014-2015 Regular Season,10/29/2014,Dwyane Wade,SG,Miami,Washington,H,31.4,8,16,2,3,3,3,0,1,1,3,2,2,2,0,21
2014-2015 Regular Season,10/29/2014,Norris Cole,PG,Miami,Washington,H,27.8,9,15,3,7,2,2,0,3,3,2,1,0,3,0,23
2014-2015 Regular Season,10/29/2014,Chris Andersen,C,Miami,Washington,H,24.2,2,2,0,0,3,4,2,4,6,1,0,2,0,1,7
2014-2015 Regular Season,10/29/2014,Mario Chalmers,PG,Miami,Washington,H,25.5,3,7,1,3,1,1,0,4,4,4,5,1,3,0,8
2014-2015 Regular Season,10/29/2014,James Ennis,SF,Miami,Washington,H,14.7,2,4,0,2,1,1,0,2,2,0,1,0,0,0,5
2014-2015 Regular Season,10/29/2014,Shabazz Napier,PG,Miami,Washington,H,15.4,1,2,0,1,0,0,1,2,3,2,0,1,1,0,2
2014-2015 Regular Season,10/29/2014,DeMarre Carroll,SF,Atlanta,Toronto,R,31.9,4,7,2,3,0,0,1,2,3,0,4,0,0,0,10
2014-2015 Regular Season,10/29/2014,Paul Millsap,PF,Atlanta,Toronto,R,32.1,4,13,0,2,5,9,5,5,10,5,3,1,4,0,13
2014-2015 Regular Season,10/29/2014,Al Horford,C,Atlanta,Toronto,R,31.1,6,15,0,0,0,0,4,9,13,3,2,1,1,3,12
2014-2015 Regular Season,10/29/2014,Kyle Korver,SG,Atlanta,Toronto,R,33.5,7,10,6,7,0,0,0,2,2,2,1,0,2,3,20
2014-2015 Regular Season,10/29/2014,Jeff Teague,PG,Atlanta,Toronto,R,32.4,8,12,1,1,3,4,0,3,3,8,2,3,6,0,20
2014-2015 Regular Season,10/29/2014,Elton Brand,PF,Atlanta,Toronto,R,12.2,1,1,0,0,0,2,0,1,1,0,1,0,1,0,2
2014-2015 Regular Season,10/29/2014,Kent Bazemore,SG,Atlanta,Toronto,R,11.1,1,2,0,0,0,0,0,1,1,0,1,1,0,1,2
2014-2015 Regular Season,10/29/2014,Shelvin Mack,PG,Atlanta,Toronto,R,15,1,6,0,2,0,0,0,2,2,5,1,0,1,0,2
2014-2015 Regular Season,10/29/2014,Mike Scott,PF,Atlanta,Toronto,R,20.6,8,11,4,6,0,0,0,4,4,1,5,0,1,0,20
2014-2015 Regular Season,10/29/2014,Thabo Sefolosha,SF,Atlanta,Toronto,R,16.5,0,3,0,1,0,0,0,2,2,2,1,0,1,1,0
2014-2015 Regular Season,10/29/2014,Dennis Schroder,PG,Atlanta,Toronto,R,3.6,0,0,0,0,1,2,0,1,1,0,3,0,0,0,1
2014-2015 Regular Season,10/29/2014,Terrence Ross,SF,Toronto,Atlanta,H,28.3,5,11,3,5,0,0,0,3,3,3,2,1,0,1,13
2014-2015 Regular Season,10/29/2014,Amir Johnson,PF,Toronto,Atlanta,H,31.4,7,15,0,0,2,2,5,5,10,2,2,0,0,4,16
2014-2015 Regular Season,10/29/2014,Jonas Valanciunas,C,Toronto,Atlanta,H,20.7,4,5,0,0,9,10,3,5,8,0,3,0,1,1,17
2014-2015 Regular Season,10/29/2014,DeMar DeRozan,SG,Toronto,Atlanta,H,35,4,16,0,1,7,10,3,8,11,3,3,6,5,0,15
2014-2015 Regular Season,10/29/2014,Kyle Lowry,PG,Toronto,Atlanta,H,34.3,3,11,0,3,5,7,3,3,6,10,3,3,0,1,11
2014-2015 Regular Season,10/29/2014,Tyler Hansbrough,PF,Toronto,Atlanta,H,20.2,2,2,0,0,1,1,1,1,2,0,3,0,0,1,5
2014-2015 Regular Season,10/29/2014,James Johnson,PF,Toronto,Atlanta,H,13.9,0,2,0,0,2,2,0,0,0,2,0,2,2,1,2
2014-2015 Regular Season,10/29/2014,Patrick Patterson,PF,Toronto,Atlanta,H,23.8,4,9,2,7,0,0,0,5,5,2,1,1,0,0,10
2014-2015 Regular Season,10/29/2014,Lou Williams,SG,Toronto,Atlanta,H,15.3,3,8,1,4,1,1,1,0,1,1,1,0,1,0,8
2014-2015 Regular Season,10/29/2014,Greivis Vasquez,PG,Toronto,Atlanta,H,17.3,5,11,2,6,0,0,0,2,2,3,4,0,0,0,12
2014-2015 Regular Season,10/29/2014,Andrew Wiggins,SG,Minnesota,Memphis,R,18.6,2,5,1,1,1,2,1,2,3,1,4,2,2,0,6
2014-2015 Regular Season,10/29/2014,Thaddeus Young,PF,Minnesota,Memphis,R,34.1,10,18,2,3,4,4,2,2,4,4,2,2,1,0,26
2014-2015 Regular Season,10/29/2014,Nikola Pekovic,C,Minnesota,Memphis,R,28.8,2,9,0,0,1,2,4,4,8,1,2,0,3,1,5
2014-2015 Regular Season,10/29/2014,Corey Brewer,SF,Minnesota,Memphis,R,26.5,2,7,0,2,2,2,2,2,4,0,3,1,2,0,6
2014-2015 Regular Season,10/29/2014,Ricky Rubio,PG,Minnesota,Memphis,R,35.8,5,12,0,0,2,3,3,3,6,7,4,1,7,0,12
2014-2015 Regular Season,10/29/2014,Gorgui Dieng,C,Minnesota,Memphis,R,19.2,3,4,0,0,0,0,4,4,8,1,1,0,1,3,6
2014-2015 Regular Season,10/29/2014,Mo Williams,PG,Minnesota,Memphis,R,25.8,6,9,2,3,4,4,0,0,0,4,3,1,3,0,18
2014-2015 Regular Season,10/29/2014,Shabazz Muhammad,SG,Minnesota,Memphis,R,22.6,5,10,1,2,2,4,3,4,7,1,1,1,1,0,13
2014-2015 Regular Season,10/29/2014,Anthony Bennett,PF,Minnesota,Memphis,R,13.9,4,8,0,0,1,2,0,3,3,1,1,0,3,0,9
2014-2015 Regular Season,10/29/2014,Chase Budinger,SF,Minnesota,Memphis,R,14.8,0,4,0,1,0,0,0,4,4,0,0,0,0,0,0
2014-2015 Regular Season,10/29/2014,Tony Allen,SG,Memphis,Minnesota,H,33.2,4,8,0,0,0,0,0,3,3,5,4,3,3,0,8
